Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
M2,0689,P10,H_P10_0689_cam101_100f.jpg,2.00,1.00,-1.14,-0.78,-0.63,0.55
M2,0690,P10,H_P10_0690_cam101_100f.jpg,3.00,3.00,0.72,0.00,0.96,1.59
M2,0691,P10,H_P10_0691_cam101_100f.jpg,9.00,0.00,0.44,-0.91,2.73,-0.00
M2,0717,P10,J_P10_0717_cam101_50f.jpg,0.00,1.00,1.97,0.67,-0.00,0.51
M2,0718,P10,J_P10_0718_cam101_100f.jpg,4.00,4.00,2.40,0.00,-1.16,-1.64
M2,0719,P10,J_P10_0719_cam101_100f.jpg,1.00,0.00,-0.77,-2.02,-0.33,-0.00
M2,0720,P10,J_P10_0720_cam101_100f.jpg,1.00,1.00,0.23,-0.96,0.36,-0.58
M2,0721,P10,J_P10_0721_cam101_100f.jpg,6.00,2.00,3.25,0.68,2.07,1.09
M2,0722,P10,J_P10_0722_cam101_100f.jpg,4.00,4.00,-0.48,-0.68,1.33,2.08
M2,0723,P10,J_P10_0723_cam101_50f.jpg,2.00,2.00,0.49,0.33,-0.62,1.04
M2,0724,P10,J_P10_0724_cam101_100f.jpg,8.00,2.00,2.50,1.41,2.69,1.00
M2,0725,P10,J_P10_0725_cam101_100f.jpg,0.00,1.00,-1.90,-1.50,-0.00,-0.54
M2,0726,P10,J_P10_0726_cam101_100f.jpg,3.00,4.00,-2.13,-2.76,-0.86,-1.94
M2,0727,P10,J_P10_0727_cam101_100f.jpg,2.00,3.00,-1.18,-1.52,-0.65,-1.52
M2,0728,P10,J_P10_0728_cam101_100f.jpg,2.00,0.00,0.51,0.68,0.63,-0.00
M2,0729,P10,J_P10_0729_cam101_100f.jpg,8.00,3.00,0.63,-0.15,2.57,-1.46
M2,0730,P10,J_P10_0730_cam101_100f.jpg,6.00,0.00,1.23,0.00,1.84,-0.00
M2,0731,P10,J_P10_0731_cam101_100f.jpg,0.00,0.00,2.19,-0.33,-0.00,-0.00
M2,0732,P10,J_P10_0732_cam101_100f.jpg,1.00,1.00,-0.45,-2.40,-0.31,0.47
M2,0733,P10,J_P10_0733_cam101_100f.jpg,3.00,1.00,0.27,-0.37,-0.98,0.55
M2,0734,P10,J_P10_0734_cam101_100f.jpg,8.00,2.00,1.32,0.63,2.37,-0.95
M2,0735,P10,J_P10_0735_cam101_50f.jpg,4.00,1.00,0.00,-0.64,1.29,0.47
M2,0736,P10,J_P10_0736_cam101_100f.jpg,3.00,2.00,-0.48,0.49,0.95,1.06
M2,0737,P10,J_P10_0737_cam101_50f.jpg,4.00,3.00,-0.65,-0.16,1.26,-1.59
M2,0738,P10,J_P10_0738_cam101_100f.jpg,1.00,1.00,-0.23,-1.40,-0.32,0.52
M2,0739,P10,J_P10_0739_cam101_50f.jpg,6.00,0.00,1.21,-0.33,2.01,-0.00
M2,0740,P10,J_P10_0740_cam101_100f.jpg,5.00,1.00,0.67,-0.63,1.71,0.49
M3,1047,P10,C_P10_1047_cam101_100f.jpg,11.00,0.00,0.47,0.65,3.28,-0.00
M3,1048,P10,C_P10_1048_cam101_100f.jpg,4.00,3.00,0.00,-1.36,1.25,-1.47
M3,1052,P10,C_P10_1052_cam101_100f.jpg,4.00,2.00,1.76,,1.29,1.05
M3,1053,P10,C_P10_1053_cam101_100f.jpg,11.00,3.00,-0.22,-0.63,3.09,-1.33
M3,1054,P10,C_P10_1054_cam101_100f.jpg,8.00,1.00,0.51,-1.73,2.86,0.53
M3,1055,P10,C_P10_1055_cam101_100f.jpg,5.00,1.00,-1.05,-1.38,-1.63,-0.55
M3,1056,P10,C_P10_1056_cam101_100f.jpg,7.00,1.00,-1.42,-2.78,-2.34,-0.52
M3,1057,P10,C_P10_1057_cam101_50f.jpg,7.00,3.00,-2.53,-3.22,-2.40,-1.40
M3,1058,P10,C_P10_1058_cam101_100f.jpg,2.00,5.00,1.62,0.14,0.64,2.15
M3,1059,P10,C_P10_1059_cam101_100f.jpg,2.00,0.00,1.09,1.40,0.67,-0.00
M3,1060,P10,C_P10_1060_cam101_100f.jpg,4.00,2.00,0.41,0.45,1.12,0.90
M3,1061,P10,C_P10_1061_cam101_100f.jpg,7.00,3.00,-1.92,-2.22,-2.04,-1.42
M3,1062,P10,C_P10_1062_cam101_100f.jpg,0.00,2.00,1.21,-0.34,-0.00,1.01
